start_fuel_amount_liters,station_name,fuel_added_liters,operation_id
87.4,Salinas-Rodriguez,82.0,932
60.4,"Villegas, Mathews and Jimenez",89.0,285
60.4,Floyd-Ortiz,50.7,203
57.8,Anderson-Welch,97.7,544
133.7,"Barker, Cox and Williams",23.5,626
80.6,"Warren, Lewis and Ross",45.5,1094
47.8,Armstrong Inc,69.6,791
54.8,"Rodriguez, Hobbs and Turner",98.8,132
58.9,Wilson-Harvey,21.6,893
72.8,"Forbes, Montgomery and White",69.8,959
60.2,Scott-Cannon,69.2,1136
107.2,Taylor-Robertson,59.3,830
72.4,"Wallace, Austin and Chan",39.5,1047
145.3,Walton PLC,29.1,748
99.7,Lee-Wade,50.4,98
120.9,"Franco, Vasquez and Guerra",71.7,808
93.8,Forbes Ltd,22.9,43
13.6,Howard and Sons,21.0,21
145.4,Hall-Krause,37.0,241
34.7,Lopez Group,28.2,578
117.5,Nichols LLC,52.0,99
17.8,"Jackson, Ali and Mckee",28.4,999
18.2,Wiley Ltd,40.6,751
83.4,Nichols Ltd,82.0,339
91.3,King Ltd,84.2,526
56.7,Dixon Ltd,66.8,597
47.2,Roach Inc,38.5,676
113.6,"Cantrell, Craig and Gomez",39.0,18
83.3,Salinas LLC,21.4,519
124.5,"Bradford, Stevenson and Phillips",45.5,94
83.4,Lam-Wright,90.3,1152
110.2,"Carpenter, Allen and Woods",29.1,810
44.1,Howard LLC,85.6,867
85.4,Hebert-Ferrell,45.0,979
121.8,Ford Ltd,39.3,92
78.9,Hunter-Brown,59.5,693
35.2,Morales-Olson,41.0,226
15.4,"Collins, Thomas and Williams",96.3,384
51.4,"Marsh, Ford and Thompson",87.8,494
57.8,Melton and Sons,41.9,1070
64.7,Garrett-Coleman,24.7,1158
133.6,"Potts, Estes and Hooper",74.4,1083
24.0,Knight Group,99.7,449
93.8,"Gutierrez, Richardson and Eaton",91.6,573
33.1,Martin Ltd,23.3,738
84.7,Herring PLC,33.0,630
91.1,"Thomas, Howard and Dixon",26.3,273
31.2,Waters-Velazquez,34.9,782
64.5,"Beard, Bonilla and White",49.5,164
58.2,"Dillon, Cook and Garcia",65.1,1200
12.2,Obrien-Wright,67.1,61
11.4,"Mcgee, Hoffman and Mclean",82.0,903
61.4,"Vega, Mills and Wolfe",26.9,1118
90.5,Mitchell-Keith,74.8,967
61.1,Clark Ltd,52.8,714
60.5,Green-Page,96.5,717
45.3,Ritter LLC,32.0,1137
127.1,Sharp-Garner,34.8,690
28.9,Pratt Group,85.8,322
119.7,Johnson Inc,28.9,834
91.5,Michael-Campbell,64.8,997
96.9,King-Smith,69.3,499
60.1,"Morris, Sanchez and Gomez",57.4,706
72.5,Rowland-Browning,51.6,965
60.5,"Brooks, Smith and Hanna",45.4,514
46.3,"Ryan, Morales and Morrison",83.3,257
57.1,"Bond, Wilson and Johnson",81.7,83
62.4,Davis and Sons,49.9,470
131.7,Douglas PLC,48.1,571
30.8,Maynard-Molina,97.3,982
38.0,Sanchez-Cunningham,66.6,168
149.0,Contreras LLC,54.2,852
121.4,"Schultz, Fuller and Smith",76.3,619
117.2,Hill-David,49.2,202
14.3,Martin Group,52.7,197
138.5,Moore Inc,84.7,976
23.3,Armstrong Ltd,24.2,1085
64.4,Davis Inc,70.0,749
37.9,"Walker, Perez and Scott",20.2,948
109.5,"Gibbs, Doyle and Herrera",38.3,417
96.0,"Hammond, Crawford and Frost",58.8,912
142.1,"Carey, Rowe and Sanchez",68.0,363
147.6,"Lewis, Hall and Taylor",94.4,207
18.5,Burke Inc,34.1,938
130.8,"Monroe, Lara and Hamilton",45.6,280
80.6,"Cole, Smith and Jensen",55.9,400
90.5,"Warren, Macias and Flores",51.2,301
110.5,"Clark, Bishop and Spencer",40.4,216
143.5,"Morales, Boyd and Williams",56.6,509
117.9,"Knight, Frost and Baker",58.4,554
58.7,"Parker, Martinez and Edwards",80.5,91
53.7,"Mccann, Mccarty and Palmer",86.7,822
78.8,Griffin-Hendricks,31.0,1194
39.0,Morris-Jones,21.2,256
50.2,Cline-Paul,54.5,1041
112.6,Randall Ltd,92.8,1179
40.9,Wall-Garcia,83.7,954
64.2,Duncan Ltd,88.8,186
111.2,Giles Inc,70.8,709
122.3,Collins Group,36.0,210
27.5,Black Inc,99.0,973
89.0,Yang-Hill,72.9,458
143.4,"Turner, Weeks and Gonzalez",79.1,118
60.6,"Morales, Griffin and Woods",89.9,611
104.3,Smith-Trevino,69.0,728
122.0,"Pugh, Schroeder and Rodriguez",22.5,1040
93.9,"Davis, Cruz and Baker",72.6,927
69.3,Ramirez-Rangel,44.8,1013
30.0,"Miranda, Mckinney and Arnold",96.6,564
46.4,Owens-Alvarez,76.8,263
93.8,Noble and Sons,83.6,779
74.7,"Williams, King and Burch",94.5,865
38.3,Ward-Reyes,34.6,939
116.7,Thompson-Mitchell,56.5,1019
113.2,Williams-Gordon,86.5,330
67.4,Middleton-Chang,62.1,150
106.6,"Flores, Galloway and Bailey",54.0,649
53.3,Stokes PLC,33.0,955
115.6,Howard PLC,44.6,346
32.9,Neal-Henry,36.7,614
90.8,Moore-Bailey,83.9,244
18.4,Wilson Ltd,30.1,467
140.8,James Group,66.0,1138
49.7,"Hancock, Houston and Nguyen",24.9,907
90.2,"Smith, Coffey and Lewis",86.9,942
25.1,Marshall Ltd,40.8,602
109.9,"Ross, Brown and Garcia",64.9,550
97.6,Smith Group,88.0,248
144.5,"Guerrero, Serrano and Mitchell",95.0,262
123.3,Cook PLC,22.4,217
112.0,Baker-Hall,68.6,247
121.3,"Meyer, Ramos and Zimmerman",91.2,303
92.2,"Roth, Flores and Warren",38.3,391
69.5,Baldwin Inc,96.0,1180
21.7,"Sanchez, Wilkins and Ryan",98.9,243
45.0,Hernandez-Baldwin,81.5,401
58.1,"Vasquez, Snyder and White",78.0,440
149.2,Jackson-Ward,23.2,525
27.6,"Phillips, Charles and Peterson",85.9,148
123.5,Perez-Smith,49.8,644
56.9,"Arroyo, Taylor and Dickson",67.4,886
138.7,Kline-Martin,87.5,887
92.9,Bauer and Sons,63.1,788
137.8,"Moore, Taylor and Kelley",28.9,582
96.5,Price-Wood,35.4,441
55.2,Osborne-Duran,64.4,336
30.2,Chapman Inc,90.2,593
21.6,Rowe-Richardson,22.6,323
59.6,Downs Ltd,90.4,453
89.8,"Watson, Brown and Lopez",71.7,627
67.6,"King, Hernandez and Huff",47.1,178
24.4,Burke PLC,78.0,687
119.7,Flores PLC,41.9,981
139.4,"Garrett, Davis and Martin",78.8,615
34.0,Mcdonald-Griffin,93.0,639
63.9,Barnes-Davis,35.9,466
38.5,Green and Sons,96.8,725
49.3,West-Miller,77.2,28
40.1,Adams-Bates,60.8,936
123.7,Gutierrez and Sons,69.3,219
